ID;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count
GO:0004536;deoxyribonuclease activity;5/38;57/18369;1,11611989000905e-07;1,55398230839722e-06;7,77217089399018e-07;ERCC4/MRE11/RAD50/RAD51C/XRCC3;5
GO:0003678;DNA helicase activity;5/38;58/18369;1,21958484099956e-07;1,57674897300657e-06;7,88603731774151e-07;BRIP1/MRE11/RAD50/RAD51/RAD54B;5
GO:0004386;helicase activity;6/38;153/18369;6,70452633927802e-07;8,09012844939547e-06;4,04624045738884e-06;BRIP1/MRE11/RAD50/RAD51/RAD54B/RAD54L;6
GO:0000014;single-stranded DNA endodeoxyribonuclease activity;3/38;10/18369;9,70366854877475e-07;1,03315529842837e-05;5,16727860801628e-06;ERCC4/MRE11/RAD50;3
GO:0032356;oxidized DNA binding;3/38;10/18369;9,70366854877475e-07;1,03315529842837e-05;5,16727860801628e-06;MSH2/MSH6/MUTYH;3
GO:0004519;endonuclease activity;5/38;122/18369;5,01251628229912e-06;5,04036359497856e-05;2,52091462150716e-05;ERCC4/MRE11/RAD50/RAD51C/XRCC3;5
GO:0106310;protein serine kinase activity;7/38;363/18369;8,26989602631639e-06;7,87816410928035e-05;3,94022746960227e-05;AKT1/ATM/ATR/CDK12/CHEK1/CHEK2/PIK3CA;7
GO:0004674;protein serine/threonine kinase activity;7/38;421/18369;2,15802308620153e-05;1,95301089301239e-04;9,76789396912273e-05;AKT1/ATM/ATR/CDK12/CHEK1/CHEK2/PIK3CA;7
GO:0004518;nuclease activity;5/38;207/18369;6,42209639953484e-05;5,53523546817050e-04;2,76842250807016e-04;ERCC4/MRE11/RAD50/RAD51C/XRCC3;5
GO:0001094;TFIID-class transcription factor complex binding;2/38;10/18369;1,85570750969025e-04;1,39951274689140e-03;6,99959850146324e-04;ERCC4/TP53;2
GO:0016303;1-phosphatidylinositol-3-kinase activity;2/38;10/18369;1,85570750969025e-04;1,39951274689140e-03;6,99959850146324e-04;ATM/PIK3CA;2
GO:0016889;DNA endonuclease activity, producing 3'-phosphomonoesters;2/38;10/18369;1,85570750969025e-04;1,39951274689140e-03;6,99959850146324e-04;RAD51C/XRCC3;2
GO:0140666;annealing activity;2/38;11/18369;2,26512618271450e-04;1,63995135628530e-03;8,20214112477673e-04;RAD54L/TP53;2
GO:0035004;phosphatidylinositol 3-kinase activity;2/38;12/18369;2,71460356695382e-04;1,88978171391785e-03;9,45165614404975e-04;ATM/PIK3CA;2
GO:0002039;p53 binding;3/38;67/18369;3,57103823004220e-04;2,39391822088014e-03;1,19730716484846e-03;BRCA1/TP53/TP53BP1;3
GO:0052742;phosphatidylinositol kinase activity;2/38;17/18369;5,55733128516705e-04;3,59241772362584e-03;1,79673116738484e-03;ATM/PIK3CA;2
GO:0016894;endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters;2/38;18/18369;6,24384336641593e-04;3,89701948041822e-03;1,94907633216613e-03;RAD51C/XRCC3;2
GO:0016887;ATP hydrolysis activity;5/38;376/18369;1,00758529959869e-03;6,07909797424543e-03;3,04043283387675e-03;BRIP1/MLH1/MSH2/RAD50/RAD54L;5
GO:0001091;RNA polymerase II general transcription initiation factor binding;2/38;26/18369;1,31253831486296e-03;7,66353016097407e-03;3,83287928958284e-03;ERCC4/TP53;2
GO:0071889;14-3-3 protein binding;2/38;34/18369;2,24214695328050e-03;1,26821437044928e-02;6,34291572309614e-03;AKT1/TP53;2
GO:0043531;ADP binding;2/38;36/18369;2,51136950613970e-03;1,29873680174653e-02;6,49557225648164e-03;MSH2/MSH6;2
GO:0097718;disordered domain specific binding;2/38;36/18369;2,51136950613970e-03;1,29873680174653e-02;6,49557225648164e-03;CTNNB1/TP53;2
GO:0140658;ATP-dependent chromatin remodeler activity;2/38;36/18369;2,51136950613970e-03;1,29873680174653e-02;6,49557225648164e-03;RAD54B/RAD54L;2
GO:0042162;telomeric DNA binding;2/38;37/18369;2,65142184687539e-03;1,33307598412346e-02;6,66731809448197e-03;RAD50/TP53BP1;2
GO:0002020;protease binding;3/38;138/18369;2,88758865329005e-03;1,36554513281264e-02;6,82971104518097e-03;BRCA2/PTEN/TP53;3
GO:0140297;DNA-binding transcription factor binding;5/38;478/18369;2,88797253825605e-03;1,36554513281264e-02;6,82971104518097e-03;CTNNB1/NBN/PARP1/TP53/TP53BP1;5
GO:0030331;nuclear estrogen receptor binding;2/38;39/18369;2,94233481655762e-03;1,36554513281264e-02;6,82971104518097e-03;CTNNB1/PARP1;2
GO:0051539;4 iron, 4 sulfur cluster binding;2/38;41/18369;3,24756088229533e-03;1,46952129923864e-02;7,34974304940522e-03;BRIP1/MUTYH;2
GO:0140296;general transcription initiation factor binding;2/38;53/18369;5,37299039166323e-03;2,36747176670473e-02;1,18408009268163e-02;ERCC4/TP53;2
GO:0008408;3'-5' exonuclease activity;2/38;54/18369;5,57239929662483e-03;2,36747176670473e-02;1,18408009268163e-02;MRE11/RAD50;2
GO:0061629;RNA polymerase II-specific DNA-binding transcription factor binding;4/38;348/18369;5,62438044023776e-03;2,36747176670473e-02;1,18408009268163e-02;CTNNB1/PARP1/TP53/TP53BP1;4
GO:0001098;basal transcription machinery binding;2/38;61/18369;7,06164592149070e-03;2,84035091508848e-02;1,42058841929403e-02;ERCC4/TP53;2
GO:0001099;basal RNA polymerase II transcription machinery binding;2/38;61/18369;7,06164592149070e-03;2,84035091508848e-02;1,42058841929403e-02;ERCC4/TP53;2
GO:1990841;promoter-specific chromatin binding;2/38;63/18369;7,51674490397746e-03;2,95767571221722e-02;1,47926787583996e-02;ERCC4/TP53;2
GO:0051536;iron-sulfur cluster binding;2/38;69/18369;8,95932871713738e-03;3,37841353708722e-02;1,68969795981100e-02;BRIP1/MUTYH;2
GO:0051540;metal cluster binding;2/38;69/18369;8,95932871713738e-03;3,37841353708722e-02;1,68969795981100e-02;BRIP1/MUTYH;2
GO:0043539;protein serine/threonine kinase activator activity;2/38;72/18369;9,72342429511983e-03;3,59171387227896e-02;1,79637913937767e-02;KRAS/PIK3CA;2
GO:0003724;RNA helicase activity;2/38;76/18369;1,07857950223690e-02;3,87115208222203e-02;1,93613887217851e-02;BRIP1/RAD54B;2
GO:0046332;SMAD binding;2/38;77/18369;1,10590808893093e-02;3,87115208222203e-02;1,93613887217851e-02;CTNNB1/PARP1;2
GO:0008186;ATP-dependent activity, acting on RNA;2/38;78/18369;1,13354176993242e-02;3,87115208222203e-02;1,93613887217851e-02;BRIP1/RAD54B;2
GO:0035064;methylated histone binding;2/38;78/18369;1,13354176993242e-02;3,87115208222203e-02;1,93613887217851e-02;MSH6/TP53BP1;2
GO:0004527;exonuclease activity;2/38;80/18369;1,18971917968090e-02;3,91525766404077e-02;1,95819807564703e-02;MRE11/RAD50;2
GO:0140034;methylation-dependent protein binding;2/38;80/18369;1,18971917968090e-02;3,91525766404077e-02;1,95819807564703e-02;MSH6/TP53BP1;2
GO:0008353;RNA polymerase II CTD heptapeptide repeat kinase activity;1/38;10/18369;2,05004826916508e-02;6,18431227864800e-02;3,09305528330170e-02;CDK12;1
GO:0034594;phosphatidylinositol trisphosphate phosphatase activity;1/38;10/18369;2,05004826916508e-02;6,18431227864800e-02;3,09305528330170e-02;PTEN;1
GO:0045294;alpha-catenin binding;1/38;10/18369;2,05004826916508e-02;6,18431227864800e-02;3,09305528330170e-02;CTNNB1;1
GO:0051880;G-quadruplex DNA binding;1/38;10/18369;2,05004826916508e-02;6,18431227864800e-02;3,09305528330170e-02;RAD50;1
GO:0052813;phosphatidylinositol bisphosphate kinase activity;1/38;10/18369;2,05004826916508e-02;6,18431227864800e-02;3,09305528330170e-02;PIK3CA;1
GO:0097371;MDM2/MDM4 family protein binding;1/38;11/18369;2,25278796989887e-02;6,68450200904420e-02;3,34322287163595e-02;TP53;1
GO:0031625;ubiquitin protein ligase binding;3/38;301/18369;2,40857281555197e-02;6,99187977269731e-02;3,49695644345431e-02;BRCA1/CHEK2/TP53;3
GO:0043047;single-stranded telomeric DNA binding;1/38;12/18369;2,45511905482879e-02;6,99187977269731e-02;3,49695644345431e-02;RAD50;1
GO:0004438;phosphatidylinositol-3-phosphate phosphatase activity;1/38;13/18369;2,65704232529324e-02;6,99187977269731e-02;3,49695644345431e-02;PTEN;1
GO:0008296;3'-5'-DNA exonuclease activity;1/38;13/18369;2,65704232529324e-02;6,99187977269731e-02;3,49695644345431e-02;MRE11;1
GO:0019104;DNA N-glycosylase activity;1/38;13/18369;2,65704232529324e-02;6,99187977269731e-02;3,49695644345431e-02;MUTYH;1
GO:0043560;insulin receptor substrate binding;1/38;13/18369;2,65704232529324e-02;6,99187977269731e-02;3,49695644345431e-02;PIK3CA;1
GO:0042826;histone deacetylase binding;2/38;126/18369;2,79394764761503e-02;6,99187977269731e-02;3,49695644345431e-02;PARP1/TP53;2
GO:0044389;ubiquitin-like protein ligase binding;3/38;320/18369;2,81956126711761e-02;6,99187977269731e-02;3,49695644345431e-02;BRCA1/CHEK2/TP53;3
GO:0010484;histone H3 acetyltransferase activity;1/38;14/18369;2,85855858110277e-02;6,99187977269731e-02;3,49695644345431e-02;BRCA2;1
GO:0016307;phosphatidylinositol phosphate kinase activity;1/38;14/18369;2,85855858110277e-02;6,99187977269731e-02;3,49695644345431e-02;PIK3CA;1
GO:0052744;phosphatidylinositol monophosphate phosphatase activity;1/38;14/18369;2,85855858110277e-02;6,99187977269731e-02;3,49695644345431e-02;PTEN;1
GO:0070411;I-SMAD binding;1/38;14/18369;2,85855858110277e-02;6,99187977269731e-02;3,49695644345431e-02;CTNNB1;1
GO:0098847;sequence-specific single stranded DNA binding;1/38;14/18369;2,85855858110277e-02;6,99187977269731e-02;3,49695644345431e-02;RAD50;1
GO:0099103;channel activator activity;1/38;15/18369;3,05966862054261e-02;7,19220805608068e-02;3,59714971109589e-02;AKT1;1
GO:0140036;ubiquitin-dependent protein binding;1/38;15/18369;3,05966862054261e-02;7,19220805608068e-02;3,59714971109589e-02;TP53BP1;1
GO:1990226;histone methyltransferase binding;1/38;15/18369;3,05966862054261e-02;7,19220805608068e-02;3,59714971109589e-02;CTNNB1;1
GO:0030295;protein kinase activator activity;2/38;135/18369;3,17211432465969e-02;7,36093195850518e-02;3,68153619326226e-02;KRAS/PIK3CA;2
GO:0016922;nuclear receptor binding;2/38;138/18369;3,30244393533648e-02;7,56635888982156e-02;3,78427952616839e-02;CTNNB1/PARP1;2
GO:0019903;protein phosphatase binding;2/38;140/18369;3,39049182880350e-02;7,63880311814810e-02;3,82051217307785e-02;CTNNB1/TP53;2
GO:0019209;kinase activator activity;2/38;141/18369;3,43486094822692e-02;7,63880311814810e-02;3,82051217307785e-02;KRAS/PIK3CA;2
GO:0140035;ubiquitination-like modification-dependent protein binding;1/38;17/18369;3,46067323584610e-02;7,63880311814810e-02;3,82051217307785e-02;TP53BP1;1
GO:0008409;5'-3' exonuclease activity;1/38;18/18369;3,66056940068035e-02;7,88765549432313e-02;3,94497454208659e-02;MRE11;1
GO:0052745;inositol phosphate phosphatase activity;1/38;18/18369;3,66056940068035e-02;7,88765549432313e-02;3,94497454208659e-02;PTEN;1
GO:0035173;histone kinase activity;1/38;21/18369;4,25784282594566e-02;8,96127385460656e-02;4,48193981678490e-02;CHEK1;1
GO:1990381;ubiquitin-specific protease binding;1/38;21/18369;4,25784282594566e-02;8,96127385460656e-02;4,48193981678490e-02;PTEN;1
GO:0004529;DNA exonuclease activity;1/38;22/18369;4,45613157527058e-02;8,96146488967696e-02;4,48203536209490e-02;MRE11;1
GO:0010485;histone H4 acetyltransferase activity;1/38;22/18369;4,45613157527058e-02;8,96146488967696e-02;4,48203536209490e-02;BRCA2;1
GO:0016895;DNA exonuclease activity, producing 5'-phosphomonoesters;1/38;22/18369;4,45613157527058e-02;8,96146488967696e-02;4,48203536209490e-02;MRE11;1
GO:0070182;DNA polymerase binding;1/38;22/18369;4,45613157527058e-02;8,96146488967696e-02;4,48203536209490e-02;RAD51;1
GO:0003950;NAD+ ADP-ribosyltransferase activity;1/38;23/18369;4,65402043994273e-02;8,96146488967696e-02;4,48203536209490e-02;PARP1;1
GO:0017116;single-stranded DNA helicase activity;1/38;23/18369;4,65402043994273e-02;8,96146488967696e-02;4,48203536209490e-02;RAD51;1
GO:0035035;histone acetyltransferase binding;1/38;23/18369;4,65402043994273e-02;8,96146488967696e-02;4,48203536209490e-02;TP53;1
GO:1990404;NAD+-protein ADP-ribosyltransferase activity;1/38;23/18369;4,65402043994273e-02;8,96146488967696e-02;4,48203536209490e-02;PARP1;1
GO:0070412;R-SMAD binding;1/38;24/18369;4,85151020464798e-02;9,24340365306615e-02;4,62304573517702e-02;PARP1;1
GO:0140030;modification-dependent protein binding;2/38;175/18369;5,07256162697339e-02;9,56389223418941e-02;4,78333662192666e-02;MSH6/TP53BP1;2
GO:0034593;phosphatidylinositol bisphosphate phosphatase activity;1/38;26/18369;5,24529556541863e-02;9,78761337464713e-02;4,89522971921869e-02;PTEN;1
GO:0019887;protein kinase regulator activity;2/38;184/18369;5,54517115877770e-02;1,02415916299874e-01;5,12228485128767e-02;KRAS/PIK3CA;2
GO:0051721;protein phosphatase 2A binding;1/38;28/18369;5,63749390517808e-02;1,03069333013862e-01;5,15496518708469e-02;TP53;1
GO:0019902;phosphatase binding;2/38;187/18369;5,70607287986076e-02;1,03279919125480e-01;5,16549755440027e-02;CTNNB1/TP53;2
GO:0043325;phosphatidylinositol-3,4-bisphosphate binding;1/38;29/18369;5,83299988803634e-02;1,04531978191542e-01;5,22811871152814e-02;AKT1;1
GO:0004693;cyclin-dependent protein serine/threonine kinase activity;1/38;30/18369;6,02811144770125e-02;1,04912324234031e-01;5,24714154354562e-02;CDK12;1
GO:0052866;phosphatidylinositol phosphate phosphatase activity;1/38;30/18369;6,02811144770125e-02;1,04912324234031e-01;5,24714154354562e-02;PTEN;1
GO:0097472;cyclin-dependent protein kinase activity;1/38;30/18369;6,02811144770125e-02;1,04912324234031e-01;5,24714154354562e-02;CDK12;1
GO:0043495;protein-membrane adaptor activity;1/38;31/18369;6,22282935843724e-02;1,07269725131156e-01;5,36504586291331e-02;KRAS;1
GO:0030332;cyclin binding;1/38;34/18369;6,80462891756570e-02;1,16192248498056e-01;5,81130175680884e-02;CDK12;1
GO:0043015;gamma-tubulin binding;1/38;35/18369;6,99777994571582e-02;1,18156650995938e-01;5,90955044236736e-02;BRCA2;1
GO:0019207;kinase regulator activity;2/38;211/18369;7,05023110914990e-02;1,18156650995938e-01;5,90955044236736e-02;KRAS/PIK3CA;2
GO:0030291;protein serine/threonine kinase inhibitor activity;1/38;36/18369;7,19054117414731e-02;1,19402564451437e-01;5,97186422961535e-02;AKT1;1
GO:0016799;hydrolase activity, hydrolyzing N-glycosyl compounds;1/38;38/18369;7,57489729214824e-02;1,24641491807167e-01;6,23388676674401e-02;MUTYH;1
GO:0000287;magnesium ion binding;2/38;223/18369;7,75774836639430e-02;1,26500221109673e-01;6,32685025613950e-02;MSH2/MSH6;2
GO:0005547;phosphatidylinositol-3,4,5-trisphosphate binding;1/38;40/18369;7,95770337755850e-02;1,28602170655186e-01;6,43197829389127e-02;AKT1;1
GO:0003925;G protein activity;1/38;42/18369;8,33896551307242e-02;1,33571040519125e-01;6,68049403003473e-02;KRAS;1
GO:0001046;core promoter sequence-specific DNA binding;1/38;43/18369;8,52901949411149e-02;1,34239350298624e-01;6,71391923563925e-02;TP53;1
GO:0004402;histone acetyltransferase activity;1/38;43/18369;8,52901949411149e-02;1,34239350298624e-01;6,71391923563925e-02;BRCA2;1
GO:0042393;histone binding;2/38;241/18369;8,85914340076403e-02;1,36639309126651e-01;6,83395207030645e-02;MSH6/TP53BP1;2
GO:0001222;transcription corepressor binding;1/38;45/18369;8,90797705908550e-02;1,36639309126651e-01;6,83395207030645e-02;CTNNB1;1
GO:0004712;protein serine/threonine/tyrosine kinase activity;1/38;45/18369;8,90797705908550e-02;1,36639309126651e-01;6,83395207030645e-02;AKT1;1
GO:0061733;peptide-lysine-N-acetyltransferase activity;1/38;46/18369;9,09688214922708e-02;1,38364341933622e-01;6,92022879109712e-02;BRCA2;1
GO:0016763;pentosyltransferase activity;1/38;49/18369;9,66131165732944e-02;1,45724784164719e-01;7,28835791693274e-02;PARP1;1
GO:0034212;peptide N-acetyltransferase activity;1/38;51/18369;1,00357006713639e-01;1,50120811695609e-01;7,50822320780595e-02;BRCA2;1
GO:0051287;NAD binding;1/38;52/18369;1,02223282166466e-01;1,51659131738773e-01;7,58516157576881e-02;PARP1;1
GO:0015459;potassium channel regulator activity;1/38;53/18369;1,04085787777520e-01;1,53166890957163e-01;7,66057145816578e-02;AKT1;1
GO:0070063;RNA polymerase binding;1/38;57/18369;1,11498259783844e-01;1,62751492103836e-01;8,13994086707179e-02;BRCA1;1
GO:0016796;exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters;1/38;58/18369;1,13342027047289e-01;1,64119255164474e-01;8,20834890616156e-02;MRE11;1
GO:0003713;transcription coactivator activity;2/38;282/18369;1,15247698825308e-01;1,65554234026832e-01;8,28011871259524e-02;BRCA1/CTNNB1;2
GO:0005507;copper ion binding;1/38;62/18369;1,20679913321256e-01;1,71992632371239e-01;8,60213223839868e-02;TP53;1
GO:0030145;manganese ion binding;1/38;65/18369;1,26144490426233e-01;1,78376193493345e-01;8,92140310580267e-02;MRE11;1
GO:0008080;N-acetyltransferase activity;1/38;67/18369;1,29769156667935e-01;1,82079204317025e-01;9,10660748546912e-02;BRCA2;1
GO:0031491;nucleosome binding;1/38;71/18369;1,36974624583354e-01;1,90710823458362e-01;9,53831393859791e-02;PARP1;1
GO:0043621;protein self-association;1/38;72/18369;1,38766895009949e-01;1,91731358754204e-01;9,58935554106516e-02;TP53;1
GO:0019003;GDP binding;1/38;73/18369;1,40555541126231e-01;1,92731461695817e-01;9,63937522875269e-02;KRAS;1
GO:0017018;myosin phosphatase activity;1/38;76/18369;1,45899804858511e-01;1,97073617010377e-01;9,85654612555535e-02;PTEN;1
GO:0030971;receptor tyrosine kinase binding;1/38;76/18369;1,45899804858511e-01;1,97073617010377e-01;9,85654612555535e-02;TP53;1
GO:0045296;cadherin binding;2/38;333/18369;1,50826588136164e-01;2,02219351501080e-01;1,01139076644913e-01;CTNNB1/MRE11;2
GO:0046982;protein heterodimerization activity;2/38;343/18369;1,58049672215482e-01;2,09067190925467e-01;1,04563991972028e-01;BARD1/TP53;2
GO:0030165;PDZ domain binding;1/38;83/18369;1,58244227385574e-01;2,09067190925467e-01;1,04563991972028e-01;PTEN;1
GO:0008013;beta-catenin binding;1/38;88/18369;1,66955132636870e-01;2,18977384110677e-01;1,09520529418542e-01;CTNNB1;1
GO:0030674;protein-macromolecule adaptor activity;2/38;361/18369;1,71215888995610e-01;2,22551753940204e-01;1,11308234014874e-01;KRAS/RAD50;2
GO:0004725;protein tyrosine phosphatase activity;1/38;91/18369;1,72139478185793e-01;2,22551753940204e-01;1,11308234014874e-01;PTEN;1
GO:0019888;protein phosphatase regulator activity;1/38;92/18369;1,73860601931769e-01;2,22846701680106e-01;1,11455750767602e-01;PPP2R2A;1
GO:0016410;N-acyltransferase activity;1/38;93/18369;1,75578241430953e-01;2,22846701680106e-01;1,11455750767602e-01;BRCA2;1
GO:0004722;protein serine/threonine phosphatase activity;1/38;94/18369;1,77292403546604e-01;2,22846701680106e-01;1,11455750767602e-01;PTEN;1
GO:0016407;acetyltransferase activity;1/38;94/18369;1,77292403546604e-01;2,22846701680106e-01;1,11455750767602e-01;BRCA2;1
GO:0015631;tubulin binding;2/38;374/18369;1,80841434880762e-01;2,25739998023571e-01;1,12902819598878e-01;BRCA1/BRCA2;2
GO:0051087;chaperone binding;1/38;104/18369;1,94244269158414e-01;2,40809676148444e-01;1,20439849658425e-01;TP53;1
GO:0140098;catalytic activity, acting on RNA;2/38;396/18369;1,97318416101861e-01;2,42956689213856e-01;1,21513668347727e-01;BRIP1/RAD54B;2
GO:0004843;cysteine-type deubiquitinase activity;1/38;109/18369;2,02592176258849e-01;2,47764756100349e-01;1,23918400841117e-01;BAP1;1
GO:0001221;transcription coregulator binding;1/38;111/18369;2,05907707020765e-01;2,48461966471723e-01;1,24267107394988e-01;CTNNB1;1
GO:0019208;phosphatase regulator activity;1/38;111/18369;2,05907707020765e-01;2,48461966471723e-01;1,24267107394988e-01;PPP2R2A;1
GO:0101005;deubiquitinase activity;1/38;115/18369;2,12498548568095e-01;2,54716803250499e-01;1,27395435181988e-01;BAP1;1
GO:0031490;chromatin DNA binding;1/38;118/18369;2,17406695007135e-01;2,58885603922971e-01;1,29480441624748e-01;BAP1;1
GO:1990782;protein tyrosine kinase binding;1/38;121/18369;2,22285051270902e-01;2,62964668496950e-01;1,31520566971432e-01;TP53;1
GO:0004842;ubiquitin-protein transferase activity;2/38;438/18369;2,29265042589450e-01;2,69460861744744e-01;1,34769608084024e-01;BARD1/BRCA1;2
GO:0044325;transmembrane transporter binding;1/38;129/18369;2,35149695374887e-01;2,74594160405513e-01;1,37337003750358e-01;CTNNB1;1
GO:0019783;ubiquitin-like protein peptidase activity;1/38;130/18369;2,36743133509523e-01;2,74682738238613e-01;1,37381305545337e-01;BAP1;1
GO:0016798;hydrolase activity, acting on glycosyl bonds;1/38;132/18369;2,39920318718030e-01;2,76596036229067e-01;1,38338232717067e-01;MUTYH;1
GO:0019787;ubiquitin-like protein transferase activity;2/38;467/18369;2,51560951294444e-01;2,88180583444901e-01;1,44132190615071e-01;BARD1/BRCA1;2
GO:0099106;ion channel regulator activity;1/38;147/18369;2,63342181578436e-01;2,99779464564132e-01;1,49933317548795e-01;AKT1;1
GO:0016247;channel regulator activity;1/38;152/18369;2,70992147281464e-01;3,06559866612156e-01;1,53324504382934e-01;AKT1;1
GO:0016779;nucleotidyltransferase activity;1/38;154/18369;2,74030426274379e-01;3,08071473016538e-01;1,54080527359246e-01;PARP1;1
GO:0004721;phosphoprotein phosphatase activity;1/38;168/18369;2,94955832678469e-01;3,29549417992610e-01;1,64822622549372e-01;PTEN;1
GO:1901981;phosphatidylinositol phosphate binding;1/38;179/18369;3,10984100808656e-01;3,45325903351943e-01;1,72713158989631e-01;AKT1;1
GO:0008234;cysteine-type peptidase activity;1/38;185/18369;3,19576669360207e-01;3,52703519232911e-01;1,76403039569819e-01;BAP1;1
GO:0005516;calmodulin binding;1/38;200/18369;3,40604165227987e-01;3,73632447916761e-01;1,86870546791750e-01;AKT1;1
GO:0016747;acyltransferase activity, transferring groups other than amino-acyl groups;1/38;226/18369;3,75562523231720e-01;4,09498895812900e-01;2,04808985402206e-01;BRCA2;1
GO:0003730;mRNA 3'-UTR binding;1/38;252/18369;4,08713777604308e-01;4,41676617114681e-01;2,20902524407459e-01;TP53;1
GO:0016746;acyltransferase activity;1/38;253/18369;4,09953987156168e-01;4,41676617114681e-01;2,20902524407459e-01;BRCA2;1
GO:0016791;phosphatase activity;1/38;265/18369;4,24640360844374e-01;4,53402903934658e-01;2,26767372715211e-01;PTEN;1
GO:0016757;glycosyltransferase activity;1/38;266/18369;4,25848031319844e-01;4,53402903934658e-01;2,26767372715211e-01;PARP1;1
GO:0035091;phosphatidylinositol binding;1/38;275/18369;4,36606578737349e-01;4,62139127201521e-01;2,31136754517772e-01;AKT1;1
GO:0001227;DNA-binding transcription repressor activity, RNA polymerase II-specific;1/38;303/18369;4,68837336199517e-01;4,93369522396004e-01;2,46756492736588e-01;TP53;1
GO:0001217;DNA-binding transcription repressor activity;1/38;308/18369;4,74400732911202e-01;4,96338339057385e-01;2,48241332706805e-01;TP53;1
GO:0003924;GTPase activity;1/38;327/18369;4,95028826439751e-01;5,14943779227557e-01;2,57546757857341e-01;KRAS;1
GO:0042578;phosphoric ester hydrolase activity;1/38;352/18369;5,20973570078953e-01;5,38835521053089e-01;2,69496102416782e-01;PTEN;1
GO:0005525;GTP binding;1/38;382/18369;5,50397305012751e-01;5,66033592086977e-01;2,83099092291248e-01;KRAS;1
GO:0019001;guanyl nucleotide binding;1/38;404/18369;5,70848542204440e-01;5,80469585050582e-01;2,90319187637976e-01;KRAS;1
GO:0032561;guanyl ribonucleotide binding;1/38;404/18369;5,70848542204440e-01;5,80469585050582e-01;2,90319187637976e-01;KRAS;1
GO:0001228;DNA-binding transcription activator activity, RNA polymerase II-specific;1/38;468/18369;6,25326957886273e-01;6,30860004906972e-01;3,15521723884848e-01;TP53;1
GO:0001216;DNA-binding transcription activator activity;1/38;472/18369;6,28498510386011e-01;6,30860004906972e-01;3,15521723884848e-01;TP53;1
GO:0005543;phospholipid binding;1/38;475/18369;6,30860004906972e-01;6,30860004906972e-01;3,15521723884848e-01;AKT1;1
